Company ID,Company Name,Category,Website,Member 1 Name,Member 1 Title,Member 1 LinkedIn,Member 1 Location,Member 2 Name,Member 2 Title,Member 2 LinkedIn,Member 2 Location,Member 3 Name,Member 3 Title,Member 3 LinkedIn,Member 3 Location
vc-013,Northzone,vc,https://northzone.com,Molly Alter,Partner,https://www.linkedin.com/in/molly-alter-3ab1159a/,,Dennis Eriksson,Partner,https://www.linkedin.com/in/deriksson01/,London Area,Markus Gleim,Partner,https://www.linkedin.com/in/markusgleim/,London
vc-014,Episode 1 Ventures,vc,https://ep1.vc,Simon Murdoch,Partner,https://uk.linkedin.com/in/simonmurdoch,UK,Paul McNabb,Co-Managing Partner,https://uk.linkedin.com/in/paul-mcnabb-92b6177,UK,Adrian Lloyd,Founding Partner,https://uk.linkedin.com/in/adrianelloyd,UK
vc-015,Entrepreneur First,vc,https://joinef.com,Matt Clifford,Co-founder,https://uk.linkedin.com/in/mattcliffordef,UK,Alice Bentinck,Co-founder,https://www.linkedin.com/in/alicebentinck,UK,Joseph Ros,Partner,https://www.linkedin.com/in/josephros,
vc-016,Backed VC,vc,https://backed.vc,Andre de Haes,Partner,https://www.linkedin.com/in/andredehaes/,Greater London,Alex Brunicki,Partner,https://www.linkedin.com/in/alexbrunicki/,London,Clare Hunter,Partner,https://www.linkedin.com/in/clare-hunter/,London
vc-017,Felix Capital,vc,https://felixcap.com,Laurent Droin,Partner and Investor,https://www.linkedin.com/in/laurent-droin-449606/,UK,Frederic Court,Partner,https://uk.linkedin.com/in/fredericcourt,UK,Susan Lin,Investor,https://www.linkedin.com/in/susanravelin/,London
vc-018,Stride VC,vc,https://stride.vc,,,,,,,,,,,
vc-019,Anthemis,vc,https://anthemis.com,Amy Nauiokas,Partner,https://www.linkedin.com/in/amynauiokas/,London,Mei Lim,Managing Partner,,,Alexander Mayall,Investor,https://www.linkedin.com/in/alexandermayall/,London
vc-020,Playfair Capital,vc,https://playfair.vc,Jeevan Sunner,Managing Partner,https://uk.linkedin.com/in/jeevansunner,London,Matt Gill,CFO (CFA),https://www.linkedin.com/in/matt-gill-cfa-a3080530/,,,,
vc-021,Kindred Capital,vc,https://kindredcapital.vc,Leila Rastegar Zegna,Founding General Partner,https://uk.linkedin.com/in/leilazegna,London,Russell Buckley,Partner,https://uk.linkedin.com/in/russellbuckley/ms,UK,Maria Brewer Palma,General Partner,https://uk.linkedin.com/in/mariabrewerpalma,UK
vc-022,Connect Ventures,vc,https://connectventures.co,Rory Stirling,Partner,https://uk.linkedin.com/in/rorystirling,UK,,,,,,,
vc-023,Hoxton Ventures,vc,https://hoxtonventures.com,Rob Kniaz,Partner,https://uk.linkedin.com/in/robkniaz,UK,Hussein Kanji,Partner,https://uk.linkedin.com/in/hkanji,UK,Charles Seely,Partner,https://uk.linkedin.com/in/charlesseely,UK
vc-024,Speedinvest,vc,https://speedinvest.com,Lawrence Kilian,Partner (CFA),https://www.linkedin.com/in/lawrence-kilian/,London,Sameer Singh,Partner,,,Evgeny Slavin,Partner,https://www.linkedin.com/in/evgenyslavin/,London
vc-025,83North,vc,https://83north.com,Laurel Bowden,Partner,https://uk.linkedin.com/in/laurel-bowden-3a869b,London,,,,,,,
vc-026,Fabric Ventures,vc,https://fabric.vc,Richard Muirhead,Partner,https://www.linkedin.com/in/richardmuirhead/,UK,Musaddik Ahmed,Partner,https://www.linkedin.com/in/musaddikahmed/,London,Eleanor Hudson,Partner,https://www.linkedin.com/in/eleanor-hudson/,London
vc-027,Outlier Ventures,vc,https://outlierventures.io,Jamie Burke,Founder & Executive Chairman,https://uk.linkedin.com/in/jamieburke,UK,Blake Lezenski,Partner Program Director,https://www.linkedin.com/in/blake-lezenski/,London,Isabella Tisenhusen,Portfolio Manager,https://www.linkedin.com/in/isabella-b-tisenhusen/,London
ai-001,Google DeepMind,ai,https://deepmind.google,Demis Hassabis,CEO & Co-Founder,https://uk.linkedin.com/in/demishassabis,UK,Raia Hadsell,Research Scientist,https://uk.linkedin.com/in/raia-hadsell-35400266,London,Piotr Mirowski,Senior Staff Research Scientist,https://uk.linkedin.com/in/piotrmirowski,London
ai-002,Anthropic,ai,https://anthropic.com,André Balleyguier,Partner,https://www.linkedin.com/in/aballeyguier/,London,Sally Aldous,Marketing,https://www.linkedin.com/in/sally-aldous-46699719/,London,Michael Dworsky,Engineer,https://www.linkedin.com/in/michaeldworsky/,
ai-003,Cohere,ai,https://cohere.com,Acyr Locatelli,Director of Machine Learning,https://www.linkedin.com/in/acyr-locatelli/,London,Yixuan Su,Engineer,https://www.linkedin.com/in/yixuansu/,London,Martin Kon,President Emeritus,https://www.linkedin.com/in/martin-kon-95188/,
ai-004,Synthesia,ai,https://synthesia.io,Victor Riparbelli,CEO & Co-Founder,https://www.linkedin.com/in/victorriparbelli/,Greater London,Steffen Tjerrild,Co-Founder,https://uk.linkedin.com/in/steffentjerrild,UK,Pete Kistler,Engineer,https://uk.linkedin.com/in/petekistler,UK
ai-005,Wayve,ai,https://wayve.ai,Alex Kendall,Co-founder & CEO,https://uk.linkedin.com/in/alexgkendall,UK,Paul Newman,Founder & CTO,,,Sarah Gates,Engineer,https://uk.linkedin.com/in/sarah-gates-8aa602113,UK
ai-006,Stability AI,ai,https://stability.ai,Emad Mostaque,Founder,https://www.linkedin.com/in/emad-mostaque-9840ba274/,London,Prem Akkaraju,CEO,https://www.linkedin.com/in/prem-akkaraju-7b10a265/,,Cameron Smith,Operations Lead/CoS to COO,https://www.linkedin.com/in/cameron-smith-a4520328/,London
ai-007,Faculty AI,ai,https://faculty.ai,Marc Warner,Co-founder,,,Angie Ma,Co-founder,,,Tom Nixon,Engineer,https://www.linkedin.com/in/tom-nixon-4b072b191/,London
ai-008,BenevolentAI,ai_bio,https://benevolent.com,Joanna Shields,Former CEO,https://uk.linkedin.com/in/baronessjoannashields,UK,Aishaini Puvanendran,Director of Technical Delivery,https://www.linkedin.com/in/aishaini-puvanendran-59872292/,London,April Gibson,Director of Product Design,https://www.linkedin.com/in/april-gibson-19b239/,London
ai-009,Isomorphic Labs,ai_bio,https://isomorphiclabs.com,Demis Hassabis,CEO & Founder,,,James Kirkpatrick,Director of Machine Learning,https://www.linkedin.com/in/james-kirkpatrick-4627a410/,London,Max Jaderberg,Senior Research Investigator,https://www.linkedin.com/in/maxjaderberg/,London
ai-010,Tractable,ai,https://tractable.ai,Razvan Ranca,Co-Founder & CTO,https://uk.linkedin.com/in/razvan-ranca-ab81b727,UK,Adrien Cohen,Co-Founder,https://www.linkedin.com/in/adrien-cohen-883a1527/,Greater London,Venkat Sathyamurthy,CEO,https://www.linkedin.com/in/venkatsathyamurthy/,
ai-011,Quantexa,ai,https://quantexa.com,Vishal Marria,Founder & CEO,https://uk.linkedin.com/in/vishalmarria,London,Laura Hutton,Chief Customer Officer & Co-Founder,https://uk.linkedin.com/in/lahutton,London,Darren Shakespeare,Director,https://www.linkedin.com/in/darrenshakespeareuk/,London
ai-012,Vercel,big_tech,https://vercel.com,Guillermo Rauch,CEO,https://www.linkedin.com/in/rauchg/,,Mike Curtis,VP of Engineering,https://www.linkedin.com/in/mikecurtis123/,,Jen Shumann Chang,VP of Partnerships,https://www.linkedin.com/in/jennifershumanchang/,
ai-013,Mindgard,ai,https://mindgard.ai,Peter Garraghan,Co-founder,https://www.linkedin.com/in/pgarraghan/,London,Steve Street,Co-founder,,,Neeraj Suri,Co-founder,https://www.linkedin.com/in/neeraj-suri-5394536/,Lancaster
fintech-001,Revolut,fintech,https://revolut.com,Nik Storonsky,Founder,https://uk.linkedin.com/in/nstoronsky,UK,Francesca Carlesi,CEO Revolut Bank UK,https://uk.linkedin.com/in/francesca-carlesi-b326922,UK,Peter Gleeson,Director,https://www.linkedin.com/in/petegleeson/,
fintech-002,Monzo,fintech,https://monzo.com,TS Anil,Global CEO,https://uk.linkedin.com/in/tsanil,London,Tom Blomfield,Co-Founder/CTO,https://uk.linkedin.com/in/tomblomfield,UK,Tom Oldham,Group CFO,https://www.linkedin.com/in/tom-oldham-08125929/,London Area
fintech-003,Wise,fintech,https://wise.com,Kristo Käärmann,CEO,https://uk.linkedin.com/in/kkaarmann,UK,,,,,,,
fintech-004,Stripe,fintech,https://stripe.com,Nick Noyer,Head of EMEA Marketing,https://uk.linkedin.com/in/nicknoyer,London,Cyril Mathew,Head of BD - Crypto/Web3,https://uk.linkedin.com/in/cyrilm,London,Peter Barron,Non-executive director,https://uk.linkedin.com/in/peter-barron-376b16a,UK
fintech-005,Checkout.com,fintech,https://checkout.com,Guillaume Pousaz,Founder,https://uk.linkedin.com/in/guillaumepousaz,UK,Olivia Snow,Director CEO Office,https://www.linkedin.com/in/olivia-snow-0601a058/,London,Charlie Lacey,Director - Chief of Staff,https://www.linkedin.com/in/charlie-lacey-4612a498/,London
fintech-006,GoCardless,fintech,https://gocardless.com,Hiroki Takeuchi,CEO,https://uk.linkedin.com/in/hirokitakeuchi,London,Matt Robinson,Co-founder & former CEO,https://uk.linkedin.com/in/mattjackrobinson,London,Catherine Birkett,CFO,https://uk.linkedin.com/in/catherine-birkett-b897b812,London
fintech-007,Plaid,fintech,https://plaid.com,,,,,,,,,,,
fintech-008,Klarna,fintech,https://klarna.com,Abby Vickers,CEO Klarna Financial Services UK,https://uk.linkedin.com/in/abby-vickers-17335639,UK,Ashley Westcott,Employee,https://www.linkedin.com/in/ashleywestcott/,London,,,
fintech-011,Starling Bank,fintech,https://starlingbank.com,Anne Boden,Founder,https://uk.linkedin.com/in/anneboden,UK,John Mountain,Co-founder,https://uk.linkedin.com/in/john-mountain-b4b35330,UK,Steven Newson,Founding Employee & Group CTO,https://www.linkedin.com/in/stevennewson/,
fintech-012,Funding Circle,fintech,https://fundingcircle.com,James Meekings,Co-founder,https://www.linkedin.com/in/jamesmeekings/,London Area,Tony Nicol,CFO,https://uk.linkedin.com/in/tony-nicol-9833b619,UK,Jeremy Crinall,Head of UK Introducer Partnerships,https://uk.linkedin.com/in/jeremy-crinall-21031ab,UK
fintech-013,ClearBank,fintech,https://clearbank.co.uk,,,,,,,,,,,
fintech-014,TrueLayer,fintech,https://truelayer.com,Francesco Simoneschi,Founder & CEO,https://uk.linkedin.com/in/francescosimoneschi,UK,Mo Mirza,CFO,https://uk.linkedin.com/in/mo-mirza-38686b95,UK,,,
fintech-015,Thought Machine,fintech,https://thoughtmachine.net,Paul Taylor,Founder & CEO,https://uk.linkedin.com/in/paul-taylor-a2ba232,London,William Montgomery,Employee,https://www.linkedin.com/in/william-montgomery-289b4412/,,Callum Hart,Employee,https://www.linkedin.com/in/callum-hart/,London
web3-001,Blockchain.com,web3,https://blockchain.com,Lane Kasselman,Co-CEO,https://www.linkedin.com/in/kasselman/,,Nicolas Cary,Partner,https://uk.linkedin.com/in/ncary,London,Ben Reeves,Founder,https://uk.linkedin.com/in/benjreeves,UK
web3-002,Copper,web3,https://copper.co,Alex Maslin,Group CEO,https://www.linkedin.com/in/alex-maslin/,,Ben Lorente,Employee,https://uk.linkedin.com/in/ben-lorente-8926037,UK,Lewis Cox,Employee,https://www.linkedin.com/in/lewis-cox-072aaa16/,London
web3-003,MoonPay,web3,https://moonpay.com,Ivan Soto-Wright,Co-Founder & CEO,https://www.linkedin.com/in/isotowright/,Miami,Victor Faramond,Employee,https://uk.linkedin.com/in/victorfaramond,UK,,,
web3-004,B2C2,web3,https://b2c2.com,Max Boonen,CEO & Co-Founder,https://www.linkedin.com/in/maxboonen/,London,Thomas Restout,Group CEO,https://uk.linkedin.com/in/thomas-restout-b2c2,London,,,
web3-005,Fnality,web3,https://fnality.com,,,,,,,,,,,
web3-006,Aave,web3,https://aave.com,,,,,,,,,,,
web3-008,Elliptic,web3,https://elliptic.co,Simone Maini,CEO,https://uk.linkedin.com/in/simone-maini,UK,Tom Robinson,Chief Scientist & Co-Founder,https://uk.linkedin.com/in/tomarobinson,UK,Tom Stenhouse,Employee,https://www.linkedin.com/in/tom-stenhouse-9653912b/,London
web3-009,Chainalysis,web3,https://chainalysis.com,David Law,Director of Commercial Legal,https://www.linkedin.com/in/david-law-b03a9214/,London,Philip Gradwell,Employee,https://uk.linkedin.com/in/philip-gradwell-74525b24,UK,,,
web3-010,ConsenSys,web3,https://consensys.io,,,,,,,,,,,
cand-ai-001,OpenAI,ai,https://openai.com,James Donovan,Employee,https://uk.linkedin.com/in/james-donovan-111a7a122,London,Danny W.,Employee,https://www.linkedin.com/in/dannywigg/,London Area,Pauline Kerleroux,Employee,https://www.linkedin.com/in/pauline-kerleroux-5022b937/,London
cand-ai-002,ElevenLabs,ai,https://elevenlabs.io,Piotr Dabkowski,Co-founder,https://www.linkedin.com/in/piotr-dabkowski-50222bba/,,Mati Staniszewski,Co-Founder,https://uk.linkedin.com/in/matiii,UK,Luke Harries,Growth Team Lead,https://uk.linkedin.com/in/luke-harries,London
cand-ai-003,PolyAI,ai,https://poly.ai,Nikola Mrkšić,Co-Founder & CEO,https://www.linkedin.com/in/nikola-mrksic/,,Shawn Wen,Co-founder & CTO,https://uk.linkedin.com/in/shawn-wen-51b7b958,UK,Eddy Su,Co-founder,https://uk.linkedin.com/in/phs26,UK
cand-ai-008,Darktrace,ai,https://darktrace.com,Jill Popelka,CEO,https://uk.linkedin.com/in/jillpopelka,UK,Jack Stockdale,CTO,https://uk.linkedin.com/in/jackstockdale,UK,Paul Power,EMEA Team Lead & Account Director,https://www.linkedin.com/in/power-darktrace/,London
cand-ai-009,Luminance,ai,https://luminance.com,John Siberine,CEO,https://www.linkedin.com/in/john-siberine-63b11561/,,Eleanor Lightbody,Employee,https://uk.linkedin.com/in/eleanor-lightbody-69a6b784,UK,Jaeger Glucina,Chief of Staff,https://uk.linkedin.com/in/jaeger-glucina,UK
cand-ai-012,Signal AI,ai,https://signal-ai.com,David Benigson,CEO & Founder,https://uk.linkedin.com/in/david-benigson-03326662,London,Miguel Martinez,Co-Founder & Chief Data Scientist,,,Wesley Hall,Co-Founder,,
cand-ai-013,Eigen Technologies,ai,https://eigentech.com,Lewis Z. Liu,Co-Founder & CEO,,,Jonathan Feuer,Co-Founder,,,Tom Cahn,Co-Founder,,
cand-ai-017,Huma,ai,https://huma.com,Dan Vahdat,Founder & CEO,https://www.linkedin.com/in/danvahdat/,London,,,,,,,
cand-ai-005,Robin AI,ai,https://robinai.com,Richard Robinson,Founder & CEO,https://www.linkedin.com/in/richardgrobinson/,London,James Clough,CTO & Co-Founder,,,,,
