id,latitude,longitude,notes
cand-tech-005,51.5074,-0.1278,Research candidate (high): London carbon ratings startup (WIRED) [source-category: startup]
cand-tech-006,51.5074,-0.1278,Research candidate (medium): Nuclear startup with London office (WIRED) [source-category: startup]
cand-tech-007,51.5287,-0.1321,Research candidate (high): London-origin devsecops unicorn [source-category: startup]
cand-tech-008,51.5074,-0.1278,Research candidate (high): London payments infra startup [source-category: startup]
cand-tech-009,51.5074,-0.1278,Research candidate (high): London investing startup [source-category: startup]
cand-tech-010,51.5074,-0.1278,Research candidate (high): London insurtech startup [source-category: startup]
cand-tech-011,51.5249,-0.0846,Research candidate (high): London lending startup [source-category: startup]
cand-tech-012,51.5074,-0.1278,Research candidate (high): London healthtech scaleup [source-category: startup]
cand-tech-013,51.5466,-0.1187,Research candidate (high): London quantum startup [source-category: startup]
cand-tech-014,51.5074,-0.1278,Research candidate (medium): London AI materials startup [source-category: startup]
cand-tech-015,51.5074,-0.1278,Research candidate (high): London AI transcription startup [source-category: startup]
cand-tech-016,51.5129,-0.134,Research candidate (high): London consumer hardware startup [source-category: startup]
cand-tech-017,51.5167,-0.093,Research candidate (high): London identity startup [source-category: startup]
cand-tech-018,51.5074,-0.1278,Research candidate (high): London email security startup [source-category: startup]
cand-tech-019,51.5074,-0.1278,Research candidate (high): London foodtech scaleup [source-category: startup]
cand-tech-020,51.5074,-0.1278,Research candidate (high): London insurtech scaleup [source-category: startup]
cand-tech-021,51.5074,-0.1278,Research candidate (high): London used-car marketplace [source-category: startup]
cand-tech-022,51.5074,-0.1278,Research candidate (low): London AI workflow startup [source-category: startup]
cand-tech-023,51.5127,-0.0706,Research candidate (medium): London insurtech startup [source-category: startup]
cand-tech-024,51.5074,-0.1278,Research candidate (medium): London digital health startup [source-category: startup]
cand-tech-025,51.5074,-0.1278,Research candidate (low): US health startup with London office [source-category: startup]
cand-tech-026,51.5074,-0.1278,Research candidate (low): London AI negotiation startup [source-category: startup]
cand-tech-027,51.5074,-0.1278,Research candidate (high): London regtech scaleup [source-category: startup]
cand-tech-028,51.5074,-0.1278,Research candidate (low): London workplace software startup [source-category: startup]
cand-tech-029,51.5015,0.0275,Research candidate (medium): London logistics startup [source-category: startup]
cand-tech-030,51.5074,-0.1278,Research candidate (high): London AI data labeling startup [source-category: startup]
cand-tech-031,51.5074,-0.1278,Research candidate (low): London media-tech presence [source-category: startup]
cand-tech-032,51.5367,-0.1246,Research candidate (high): Large London offices incl. King’s Cross [source-category: big-tech]
cand-tech-033,51.5177,-0.1432,Research candidate (high): Major London and UK AI expansion [source-category: big-tech]
cand-tech-034,51.5044,-0.0223,Research candidate (high): Large London corporate and tech offices [source-category: big-tech]
cand-tech-035,51.5138,-0.1439,Research candidate (high): London engineering and policy offices [source-category: big-tech]
cand-tech-036,51.4777,-0.1748,Research candidate (high): London offices incl. Battersea [source-category: big-tech]
cand-tech-037,51.5211,-0.073,Research candidate (high): Large London office and staff base [source-category: big-tech]
cand-tech-038,51.5044,-0.0223,Research candidate (high): London office and UK AI expansion [source-category: big-tech]
cand-tech-039,51.5074,-0.1278,Research candidate (high): Major London office presence [source-category: big-tech]
cand-tech-040,51.5074,-0.1278,Research candidate (high): London office presence [source-category: big-tech]
cand-tech-041,51.5074,-0.1278,Research candidate (medium): London AI ecosystem presence [source-category: big-tech]
cand-tech-042,51.5074,-0.1278,Research candidate (high): London office and UK hiring [source-category: big-tech]
cand-tech-043,51.5074,-0.1278,Research candidate (high): London office presence [source-category: big-tech]
cand-tech-044,51.5138,-0.1439,Research candidate (high): London office and public-sector work [source-category: big-tech]
cand-tech-045,51.5074,-0.1278,Research candidate (high): London office presence [source-category: big-tech]
cand-tech-046,51.5074,-0.1278,Research candidate (high): London and UK research presence [source-category: big-tech]
cand-tech-047,51.5074,-0.1278,Research candidate (high): London office presence [source-category: big-tech]
cand-tech-048,51.5074,-0.1278,Research candidate (high): London office presence [source-category: big-tech]
cand-tech-049,51.5074,-0.1278,Research candidate (high): London engineering and go-to-market [source-category: big-tech]
cand-tech-050,51.5074,-0.1278,Research candidate (high): London office presence [source-category: big-tech]
cand-tech-051,51.5074,-0.1278,Research candidate (medium): London office/presence [source-category: big-tech]
cand-tech-052,51.5074,-0.1278,Research candidate (high): London office presence [source-category: big-tech]
cand-tech-053,51.5074,-0.1278,Research candidate (high): London office presence [source-category: big-tech]
cand-tech-054,51.5074,-0.1278,Research candidate (high): London office presence [source-category: big-tech]
cand-tech-055,51.5074,-0.1278,Research candidate (medium): London office presence [source-category: big-tech]
cand-tech-056,51.5074,-0.1278,Research candidate (high): London office presence [source-category: big-tech]
cand-tech-057,51.5211,-0.073,Research candidate (high): London HQ operations for UK market [source-category: big-tech]
cand-tech-058,51.5074,-0.1278,Research candidate (high): London office presence [source-category: big-tech]
cand-tech-059,51.5074,-0.1278,Research candidate (high): London office presence [source-category: big-tech]
cand-tech-060,51.5074,-0.1278,Research candidate (high): London office presence [source-category: big-tech]
cand-tech-061,51.5224,-0.0836,Research candidate (medium): Large London operations (enterprise arm) [source-category: big-tech]
